,text
28,"2024 18 January – A potential candidate for the first known radio pulsar-black hole binary is reported by astronomers. The heavier of the two lies in the ""mass gap"" between neutron stars and black holes. The pair are located in the globular cluster NGC 1851."
29,"2024 18 January – Two insect-like robots, a mini-bug and a water strider, are reported as being the smallest, lightest, and fastest fully-functional micro-robots ever created."
30,"2024 18 January – Bottom trawling is found to release 340 million tonnes of carbon dioxide (CO2) into the atmosphere each year, nearly 1 percent of all global CO2 emissions in addition to acidifying oceans."
31,"2024 19 January – Japan becomes the fifth country to achieve a soft landing on the Moon, with its SLIM mission."
32,"2024 21 January – Biologists report the discovery of ""obelisks"", a new class of viroid-like elements, and ""oblins"", their related group of proteins, in the human microbiome."
33,2024 23 January – A viable and sustainable approach for gold recovery from e-waste is demonstrated.
34,"2024 24 January – The discovery of 85 exoplanet candidates based on data from the TESS observatory is reported. All have orbital periods of between 20 and 700 days, with temperatures similar to those of Solar System planets."
35,2024 24 January – A global analysis of groundwater levels reports rapid declines of over 0.5 meters per year are widespread and that declines have accelerated over the past four decades in 30% of the world's regional aquifers. The study also shows cases in which depletion trends have reversed following interventions such as policy changes.
36,2024 25 January – The Laser Interferometer Space Antenna (LISA) is given the go-ahead by the European Space Agency (ESA). It will launch in 2035.
37,"2024 26 January – Astronomers report the detection of water vapor in the atmosphere of GJ 9827 d, an exoplanet about twice the size of Earth."
38,2024 29 January – Elon Musk's startup Neuralink implants their first microchip into a human brain.
39,2024 29 January – A robotic sensor able to read braille with 87.5% accuracy and at twice the speed of a human is demonstrated.
40,"2024 31 January – NASA reports the discovery of a super-Earth called TOI-715 b, located in the habitable zone of a red dwarf star about 137 light-years away."
41,"2024 29 January – Promising innovations relating to global challenges are reported: a self-powered solar panel cleaning system using an electrodynamic screen, removing contaminants through high-voltage electric fields, is demonstrated (4 Jan), an atmospheric water generator (WaterCube) for humidity levels above 40% is released (9 Jan)."
42,"2024 29 January – Promising results of health and medical research are reported: mouse-tested novel antibiotics class (including Zosurabalpin) against A. baumannii (3 Jan), small-trialed focused ultrasound for blood–brain barrier opening for better medication (Aducanumab) entry against Alzheimer's disease (3 Jan), a review supports the efficacy of exercise against depression (15 Jan), an available blood test to detect Alzheimer's disease with high accuracy using p-tau217 (22 Jan), one of two small-trialed gene therapies against DFNB9-deafness (24 Jan), phase 3-trialed dengue vaccine effective against at least two of four dengue types (31 Jan)"
43,"2024 29 January – Hazard research is published: ~240.000 particles of microplastic and nanoplastics (~90%) per liter are found in samples of plastic-bottled water (8 Jan), a study estimates harmful chemicals used in plastic materials have caused $249 billion U.S. healthcare system costs in 2018 (11 Jan), a study indicates fungal infections may be causing millions more deaths annually than thought (12 Jan), a study of European plastic waste exports to Vietnam finds a large fraction is dumped in nature and suggests air pollution from melting plastics and untreated wastewater have significant impact on health (18 Jan)."
44,2024 2 February – Scientists report a possible way of solving the three-body problem; a notable problem of particular importance to physics and classical mechanics.
45,2024 2 February – Apple releases the Vision Pro as a virtual reality tool with visionOS.
46,2024 5 February – The proposed name Zoozve for Venus' quasi-moon 2002 VE is approved and announced by the International Astronomical Union's Working Group Small Bodies Nomenclature (WGSBN).
47,"2024 5 February – A study based on 300-years-long temperature records preserved in Caribbean sclerosponge carbonate skeletons shows industrial-era warming already began in the mid-1860s and that by 2020, global warming was already 1.7±0.1 °C above pre-industrial levels. However, their reference period is not used by the IPCC and the 1.5 °C climate goal and the study's authors suggest their results show a better baseline."
48,"2024 5 February – A study reports high life satisfaction in people with low incomes among small-scale societies outside mainstream societies, in contrast with conclusions of a 2023 adversarial collaboration."
49,2024 6 February – Scientists report a new species of mussel named Vadumodiolus teredinicola.
50,2024 6 February – Biologists report a new species of jellyfish named Santjordia pagesi.
51,"2024 7 February – Reported science studies suggest that cosmic dust particles may have spread, in a process termed panspermia, life to Earth and elsewhere in the Universe."
52,"2024 7 February – A battery based on calcium, able to charge and discharge fully 700 times at room temperature, is presented. It is described as a potential alternative to lithium, being 2,500 times more abundant on Earth."
53,2024 7 February – Saturn's moon Mimas is reported to have a subsurface ocean which formed recently (<25 Mya).
54,"2024 8 February – Google renames AI chatbot Bard to Gemini, and makes it available on mobile."
55,2024 10 February – An analysis of Outer London's Mini-Hollands active transport infrastructures indicates Low Traffic Neighbourhoods are highly effective and cost-efficient measures in terms of health economic benefits.
56,"2024 12 February – The first detection of water molecules on the surface of asteroids is announced, following spectral analysis of 7 Iris and 20 Massalia, two large main-belt objects."
57,"2024 14 February – A study reviews educational content of 18,400 universities worldwide, finding higher education is not transitioning from fossil fuels to renewable energy curricula, failing to meet the growing demand for a clean energy workforce. On 26 February, a study analyzing funding sources and activities of two prominent academic centers delineates animal agriculture industry entrenchment in academia through support of industry-supported research and policy advocacy amid potential unfavorable policies."
58,"2024 17 February – A global review of harms from personal car automobility finds cars have killed 60–80 million people since their invention, with automobility causing roughly every 34th death, and summarises interventions that are ready for implementation to reduce the, largely crash-linked or pollution-mediated, deaths from automobility-centrism and dependency."
59,"2024 19 February – Astronomers announce the most luminous object ever discovered, quasar QSO J0529-4351, located 12 billion light-years away in the constellation Pictor."
60,"2024 19 February – Researchers with the University of Tennessee and University of Missouri publish an academic study about how survivors from the 2011 Joplin tornado recover from ""Tornado Brain"", a new term for the PTSD of tornado survivors."
61,"2024 20 February – The northern green anaconda (Eunectes akayima), a new species of the giant snake, is described for the first time."
62,2024 21 February – Researchers use artificial intelligence to forecast plasma instabilities in fusion reactors up to 300 milliseconds in advance.
63,"2024 21 February – The first neuroimaging study that shows flow state-related brain activity during a creative production task, jazz improvisation, is published. Its results support a theory that creative flow represents optimized specialized processing enabled by extensive experience, relaxing conscious control."
64,"2024 22 February – American company Intuitive Machines' Nova-C lander, named Odysseus, becomes the first commercial vehicle to land on the Moon in the IM-1 mission. The lander includes a Lunar Library that contains a version of the English Wikipedia, artworks, selections from the Internet Archive, portions of the Project Gutenberg, and more. It is projected to reside on the Moon in a readable state for billions of years."
65,"2024 23 February – Researchers report studies that, for the first time, measured gravity at microscopic levels."
66,"2024 23 February – Three new moons of the Solar System are discovered, one around Uranus and two around Neptune, bringing their total known satellites to 28 and 16, respectively."
67,"2024 26 February – A small trial suggests prebiotic resistant starch, contained in many foods, can help in weight loss (~2.8 kg in 8 weeks)."
68,"2024 28 February – A study links ultra-processed foods to 32 negative health impacts, including a higher risk of heart disease, cancer, type 2 diabetes, adverse mental health, and early death."
69,2024 28 February – A study reconstructs the genetic event of tail-loss in human ancestors around 25 million years ago.
70,"2024 28 February – Promising innovations relating to global challenges are reported: LAION releases a first version of BUD-E, a fully open source voice assistant (8 Feb), Minesto's Dragon 12 underwater tidal kite turbines are demonstrated successfully, connected to the Faroe Island's power grid (11 Feb), rice grains as scaffolds containing cultured animal cells are demonstrated (14 Feb), an automatic waste sorting system (ZenRobotics 4.0) that can distinguish between over 500 waste categories is released (15 Feb), researchers describe an AI ecosystem interface of foundation models connected to many APIs as specialized subtask-solvers (16 Feb), precision fermentation-derived beta-lactoglobulin is released as a substitute for whey protein amid growth of a nascent animal-free dairy industry (19 Feb), researchers describe an approach for an optical disk with petabit capacity (21 Feb)."
71,"2024 28 February – Promising results of health and medical research are reported: phase 3-trialed R21/Matrix-M vaccine against Malaria (1 Feb), phase 3-trialed resmetirom as first medication against nonalcoholic steatohepatitis of the liver (7 Feb), a blood test against heart attacks, the top cause of human deaths (12 Feb), a low-cost saliva test against breast cancer (13 Feb), pigs-tested patient repositioning method for magnetic microbot navigation against liver cancer (14 Feb), antibiotic cresomycin against multiple drug-resistant bacterial strains (15 Feb), small-trialed 15 min exposure to 670 nm red light against blood glucose spikes following meals (20 Feb), small-trialed Omalizumab against food allergies (25 Feb), a donor heart is transplanted after 12 hours of preservation and transport using an airplane, small-trialed headgear for gamma stimulation to recruit the glymphatic system to remove brain amyloid against Alzheimer's disease (28 Feb)."
72,"2024 28 February – Hazard research is published: several dietary habits and products including teabags are linked to PFAS intake (4 Feb), an additional three billion people may face water scarcity by 2050 when river pollution is considered, an aspect neglected by prior assessments (6 Feb), HPV infection linked to higher cardiovascular mortality (7 Feb), researchers use simulations to develop an early-warning signal for a potential collapse of the atlantic meridional overturning circulation (AMOC) and suggest it indicates the AMOC is ""on route to tipping"" (9 Feb), researchers report the H5N1 bird flu virus may be changing and adapting to infect more mammals (12 Feb), researchers report how compounding disturbances could trigger unexpected ecosystem transitions in the Amazon rainforest (14 Feb), harmful chlormequat is found in ~80% of U.S. adult urine samples, rising during 2023, and in oat-based foods widely thought to be healthy (15 Feb), excess amounts of widely-supplemented niacin (B3) are linked to cardiovascular risk (19 Feb), a review concludes available evidence on the use of puberty blockers and cross-sex hormones in minors with gender dysphoria is very limited and based on only a few studies with small numbers which have problematic methodology and quality, warning about their use outside of clinical studies or research projects after careful risk-benefit evaluation (27 Feb)."
73,"2024 4 March – Astronomers report that the surface of Europa, a moon of the planet Jupiter, may have much less oxygen than previously inferred, suggesting that the moon has a less hospitable environment for the existence of lifeforms than may have been considered earlier."
74,"2024 4 March – Biochemists report making an RNA molecule that was able to make accurate copies of a different type of RNA molecule, moving closer to an RNA that could make accurate copies of itself, and, as a result, providing support for an RNA world that may have been an essential way of starting the origin of life."
75,"2024 6 March – The first creation of induced pluripotent stem cells for the Asian elephant is reported by Colossal Biosciences, a key step towards de-extinction of the woolly mammoth."
76,"2024 12 March – Geologists identify a 2.4-million-year cycle in deep-sea sedimentary data, caused by an orbital interaction between Earth and Mars."
77,"2024 13 March – The Artificial Intelligence Act, the world's first comprehensive legal and regulatory framework for artificial intelligence, is passed by the European Union."
78,"2024 13 March – The largest inventory of methane emissions from U.S. oil and gas production finds them to be largely concentrated and around three times the national government inventory estimate. On 28 March, methane emissions from U.S. landfills are quantified, with super-emitting point-sources accounting for almost 90% thereof."
79,"2024 14 March – SpaceX successfully launches the Starship spacecraft, but loses the rocket upon re-entering the atmosphere."
80,"2024 19 March – Scientists demonstrate a wireless network of 78 tiny sensors able to gather data from the brain, with potential to be scaled up to thousands of such devices."
81,"2024 19 March – Researchers with the National Severe Storms Laboratory, Storm Prediction Center, CIWRO, and the University of Oklahoma's School of Meteorology publish a paper where they state, "">20% of supercell tornadoes may be capable of producing EF4–EF5 damage"" and that ""the legacy F-scale wind speed ranges may ultimately provide a better estimate of peak tornado wind speeds at 10–15 m AGL for strong–violent tornadoes and a better damage-based intensity rating for all tornadoes"" and also put the general 0–5 ranking scale in question."
82,2024 20 March – The removal of HIV from infected cells using CRISPR gene editing technology is reported.
83,2024 26 March – A study outlines identified ecological pandemic prevention measures for policy frameworks.
84,"2024 27 March – The Event Horizon Telescope team confirms that strong magnetic fields are spiralling at the edge of the Milky Way’s central black hole, Sagittarius A*. A new image released by the team, similar to M87*, suggests that strong magnetic fields may be common to all black holes."
85,2024 27 March – A study calculates the production costs of diabetes medications such as insulin and ozempic and finds them to be much lower than market prices.
86,2024 28 March – LHS 3844 b is confirmed as the first tidally locked super-Earth exoplanet.
87,2024 27 March – Promising innovations relating to global challenges are reported: researchers demonstrate simultaneous radiative cooling and solar power generation from the same area (13 Mar).
88,"2024 27 March – Promising results of health and medical research are reported: a blood test against colon cancer (13 Mar), mice-tested antibody-mediated depletion of myeloid-biased hematopoietic stem cells against immune system aging (27 Mar)."
89,"2024 27 March – Hazard research is published: a small trial links micro- and nanoplastics in carotid artery plaque to higher cardio and mortality risks (6 Mar), U.S. land area of ~1200 km² is threatened by coastal subsidence by 2050 due to sea level rise (6 Mar), an EEA risk assessment finds Europe underprepared for climate risks across five broad clusters (11 Mar), a preprint trial suggests large language models could be used for tailored manipulation, being more persuasive than humans when using personal information (21 Mar)."
90,"2024 1 April – An entirely new class of antibiotics with potent activity against multi-drug resistant bacteria is discovered. These compounds target a protein called LpxH, and are shown to cure bloodstream infections in mice."
91,"2024 1 April – An analysis of the European Union's Common Agricultural Policy suggests 82% of the EU's agricultural subsidies are used for animal-based foods which ""are associated with 84% of embodied greenhouse gas emissions of EU food production""."
92,"2024 3 April – NASA selects three companies – Intuitive Machines, Lunar Outpost and Venturi Astrolab – to develop its Lunar Terrain Vehicle, for use in crewed Artemis missions from 2030 onwards."
93,"2024 4 April – A study in Nature finds that global CO2 emissions increased by only 0.1% in 2023, suggesting that a plateau may have been reached."
94,"2024 4 April – The Dark Energy Spectroscopic Instrument (DESI) project releases multiple papers which report unprecedented measurements of dark energy, find indications that dark energy which is expanding the Universe is evolving over time, and release the most detailed largest 3D cosmic map to date."
95,2024 5 April – A numerical toolkit designed for modelling warp drive spacetimes is introduced in Classical and Quantum Gravity.
96,2024 9 April – A rare genetic variation in a gene that makes fibronectin is shown to reduce the odds of developing Alzheimer's disease by over 70%.
97,"2024 11 April – The first nitrogen-fixing organelle in a marine alga is reported, the nitroplast. The early evolutionary stage organelle provides a view into the transition from an endosymbiont into a proper organelle that receives about half of its proteins from the alga."
98,2024 12 April – Biologists report that bonobos behave more aggressively than thought earlier.
99,"2024 12 April – Scientists describe how tardigrades are protecting themselves from large radiation exposure and damage, which is quickly repaired, using the Dsup protein."
100,2024 15 April – The NOAA confirms a fourth global coral bleaching event.
101,"2024 15 April – The world's first commercial-scale factory producing sustainable high-protein food from air, microbes and solar energy, Solein, launches."
102,"2024 16 April – Scientists at the Riken institute demonstrate ""advanced dual-chirped optical parametric amplification"", which provides a 50-fold increase in the energy of single-cycle laser pulses. This new technique may advance the development of attosecond lasers."
103,"2024 23 April – The world's largest 3D printer, dubbed Factory of the Future 1.0 (FoF 1.0), is presented by the University of Maine. Using thermoplastic polymers, the machine can print objects as large as 96 feet (29 m) long by 32 feet (9.8 m) wide by 18 feet (5.5 m) high, at a rate of 500 pounds (230 kg) per hour."
104,2024 24 April – Demonstration of synthetic diamond created at 1 atmosphere of pressure in around 150 minutes without needing seeds.
105,2024 25 April – The first meta-analysis of 665 trials of conservation action such as invasive species control measuring biodiversity is published.
106,"2024 26 April – mRNA-4157/V940, the first personalised melanoma vaccine based on mRNA, enters a final-stage Phase III trial."
107,"2024 29 April – Timothy A. Coleman, with the University of Alabama in Huntsville, Richard L. Thompson with the NOAA Storm Prediction Center, and Dr. Gregory S. Forbes, a retired meteorologist from The Weather Channel publish an article to the Journal of Applied Meteorology and Climatology stating, ""it is apparent that the perceived shift in tornado activity from the traditional tornado alley in the Great Plains to the eastern U.S. is indeed real""."
108,2024 29 April – Physicists outline how a subluminal warp drive that does not require exotic negative energy may be possible.
109,2024 29 April – Promising results of health and medical research are reported: phase 2-trialed GLP-1 receptor agonist diabetes 2 drug lixisenatide against (early) Parkinson's disease motor disability (3 April).
110,"2024 29 April – Hazard research is published: a study assesses the global extent of PFAS contamination of surface waters and groundwaters, finding many samples exceed PFAS drinking water guidance values and a ""need to better understand the use, fate and impacts of anthropogenic chemicals"" (8 April), a study estimates how much inorganic carbon soils store globally and projects that they would emit 23 billion tons over the next 30 years in a business-as-usual scenario (11 April), a study of satellite data suggests because of city subsidence and sea-level rise, by 2120, 22 to 26% of China's coastal lands will be below sea level, hosting 9 to 11% of the coastal population (18 April), a study suggests vitamin D deficiency may be a determinant of cancer immunity and immunotherapy success (25 April), and researchers report H5N1 bird flu was found in raw milk (29 April)."
111,"2024 1 May – A new brain circuit that may act as a ""master regulator"" of the immune system is reported."
112,"2024 2 May – The first bioprocessing system for human brain organoids performing computational tasks enabling remote wetware computing research via a Python library, NeuroPlatform, is released."
113,"2024 3 May – China launches its Chang'e 6 probe, a robotic sample-return mission to the far side of the Moon."
114,2024 6 May – A new theory states that Venus may have lost its water so quickly due to HCO+ dissociative recombination.
115,2024 6 May – People aged over 65 with two copies of the APOE4 gene variant are found to have a 95% chance of developing Alzheimer's disease.
116,"2024 8 May – Google introduces AlphaFold 3, a new AI model for accurately predicting the structure of proteins, DNA, RNA, ligands and more, and how they interact."
117,"2024 8 May – Atmospheric gases surrounding 55 Cancri e, a hot rocky exoplanet 41 light-years from Earth, are detected by researchers using the James Webb Space Telescope. NASA reports this as ""the best evidence to date for the existence of any rocky planet atmosphere outside our solar system."""
118,"2024 8 May – The first AI-generated song made with Suno AI reaches over a million listens, shortly after a song with samples generated with Udio became viral. During 2024, AI-generated music created with tools like, most notably, Suno or Udio became sophisticated and popular. Just one year earlier, many experts reportedly thought that AI models capable of generating complete high-quality songs from text prompts wouldn't arrive any time soon."
119,"2024 9 May – A record annual increase in atmospheric CO2 is reported from the Mauna Loa Observatory in Hawaii, with a jump of 4.7 parts per million (ppm) compared to a year earlier."
120,"2024 9 May – A cubic millimetre of the human brain is mapped at nanoscale resolution by a team at Google. This contains roughly 57,000 cells and 150 million synapses, incorporating 1.4 petabytes of data."
121,"2024 9 May – A study in Physical Review Letters concludes that the black hole in VFTS 243 likely formed instantaneously, with energy mainly expelled via neutrinos. This means it would have skipped the supernova stage entirely."
122,"2024 9 May – An analysis of ocean protection for the global conservation target to protect at least 30% of the ocean by 2030 (30 by 30), finds around a quarter of marine protected area (MPA) coverage is not implemented, and one-third is incompatible with the conservation of nature due to the occurrence of highly destructive activities. According to the study, indicators of MPA quality, not only coverage, are needed. On 11 June, a study finds MPAs' effectiveness is not determined by any specific governance approaches or incentives, but the combination of many different integrated incentives."
123,"2024 10 May – A series of solar storms and intense solar flares impact the Earth, creating aurorae at more southerly and northerly latitudes than usual."
124,"2024 13 May – OpenAI reveals GPT-4o, its latest AI model, featuring improved multimodal capabilities in real time."
125,2024 15 May – Astronomers report an overview of preliminary analytical studies on returned samples of asteroid 101955 Bennu by the OSIRIS-REx mission.
126,"2024 15 May – SPECULOOS-3 b, an exoplanet nearly identical in size to Earth, is discovered orbiting an ultracool dwarf star as small as Jupiter and located 55 light-years from Earth."
127,"2024 15 May – Solar energy is combined with synthetic quartz to generate temperatures of more than 1,000°C. This proof-of-concept method shows the potential of clean energy to replace fossil fuels in heavy manufacturing, according to a research team at ETH Zurich."
128,"2024 16 May – A multimodal algorithm for improved sarcasm detection is revealed. Trained on a database known as MUStARD, it can examine multiple aspects of audio recordings and has 75% accuracy."
129,"2024 17 May – The world's smallest quantum light detector on a silicon chip is demonstrated, 50 times smaller than their previous version."
130,2024 20 May – The first measurements of an exoplanet's core mass are obtained by the James Webb Space Telescope. This reveals a surprisingly low amount of methane and a super-sized core within the super-Neptune WASP-107b.
131,"2024 23 May – New images from the Euclid space telescope are published, including a view of the Messier 78 star nursery."
132,"2024 23 May – Astronomers using TESS report the discovery of Gliese 12 b, a Venus-sized exoplanet located 40 light-years away, with an equilibrium temperature of 315 K (42 °C; 107 °F). This makes it the nearest, transiting, temperate, Earth-sized world located to date."
133,"2024 23 May – A team shows that iron instead of cobalt and nickel can be used as a cathode material in lithium-ion batteries, improving both safety and sustainability."
134,2024 24 May – Researchers from the Chinese Academy of Sciences report tuning of the Casimir effect using magnetic fields.
135,"2024 30 May – NASA reports that the James Webb Space Telescope has discovered JADES-GS-z14-0, the most distant known galaxy, which existed only 290 million years after the Big Bang. Its redshift of 14.32 exceeds the previous record of 13.2, set by JADES-GS-z13-0."
136,"2024 31 May – Biologists report that Tmesipteris oblanceolata, a fern ally plant, was found to contain the largest known genome."
137,"2024 23 May – Promising results of health and medical research are reported: a mRNA vaccine-like immunotherapy against brain cancer tested in a preliminary small trial (1 May), ferrets-tested mRNA vaccine against the clade 2.3.4.4b H5 bird flu amid concerning developments of the 2020–2025 H5N1 outbreak (23 May), mice-tested antibiotic lolamicin specific to Gram-negative bacteria that spares the gut microbiome (29 May)."
138,"2024 23 May – Hazard research is published: researchers report gas stoves disperse nitrogen dioxide – associated with respiratory conditions such as asthma – at unsafe levels also outside kitchens for hours (3 May), a preprint reports large amounts of microplastic in brains with concentrations being much larger in samples from 2024 compared to 2016 (6 May), an experimental study finds GPT-4-based large language model-powered conversational search increases selective exposure compared to conventional Web search (11 May), a study indicates fish oil omega-3 supplements, widely taken due to associations of high omega-3 levels and good health or cognition, might be a substantial risk factor for atrial fibrillation and stroke except for those who took these already having atrial fibrillation (21 May), and researchers report continued transmission of bird flu within dairy cattle and show that their raw milk can infect mice (24 May)."
139,2024 2 June – China successfully lands Chang'e 6 on the lunar far side. The robotic probe is set to begin sample collection before returning its 2 kg (4.4 lb) cargo on 4 June.
140,2024 4 June – The China National Space Administration's Chang'e 6 spacecraft lifts off from the surface of the far side of the Moon carrying samples of lunar soil and rocks back to Earth.
141,"2024 5 June – Astronomers identify ASKAP J1935+2148, the slowest-spinning neutron star ever recorded, which completes a rotation just once every 54 minutes."
142,"2024 8 June – A paper challenges the public perception and media depictions of large language models like especially ChatGPT, arguing that ""bullshitting"" in the sense of the book On Bullshit and a fundamentally flawed design are a better approach or terminology for understanding the flaws of these AI architectures or the behavior of the systems based on these as opposed to occasional or frequent ""hallucinations"". In agreement with many other experts, they find these models are in an ""important way indifferent to the truth of their outputs"". This notion has also been applied to Perplexity AI that is typically used for generating outputs that are less inaccurate than ChatGPT's – or contain fewer ""hallucinations"" – and which was scaled up substantially during 2024. An investigation by WIRED reportedly showed the chatbot at times closely paraphrased WIRED stories, and at times summarized stories inaccurately and with minimal attribution. Approaches to mitigate inaccurate information and hallucinations include the use of retrieval-augmented generation and ""grounding"" by configuring the corpus to be used by the AI which is used for example in the open source chatbot ""WikiChat"" that essentially prevents the hallucinations by retrieving facts only from a multilingual Wikipedia corpus, thereby providing a novel way to use Wikipedias. On 12 August, researchers demonstrate a open source 'AI Scientist' which generates novel research ideas, writes code, executes experiments, and writes a final research paper in the field of machine learning evaluated by an automated reviewer. The authors of the preprint advise ""treating generated papers as hints of promising ideas for practitioners to follow up on"". On 11 May, a study shows that 52% of ChatGPT answers to 517 programming questions on Stack Overflow contain incorrect information and 77% are verbose where study participants still preferred ChatGPT answers 35% of the time but also overlooked the misinformation in the ChatGPT answers 39% of the time."
143,2024 10 June – A study finds African elephants use personal name-like calls to address one another.
144,2024 11 June – Scientists report that serious kidney disease may be associated with human spaceflight.
145,2024 12 June – A study links the apparent gap in life expectancy between male and female organisms to reproductive cells driving sex-dependent differences in lifespan and suggests a role for vitamin D in improving longevity.
146,"2024 12 June – The Economist reports that China has become a ""scientific superpower"", citing numerous examples of its rapid development across a wide range of fields."
147,"2024 20 June – Following a surge in population of the Iberian lynx – from 62 mature individuals in 2001 to 648 in 2022 – the International Union for Conservation of Nature removes the animal from its ""endangered"" list, classing the animal as ""vulnerable"" instead."
148,"2024 24 June – The discovery of three Super-Earth candidates around HD 48948, a K-type dwarf star located 55 light-years away, is reported. One planet lies within the habitable zone."
149,2024 25 June – China's Chang'e 6 lunar exploration mission successfully returns to Earth after taking rock and soil samples from the far side of the Moon. The orbiter proceeded on a mission to carry out observations at Sun-Earth Lagrange point L2 after dropping the sample off to Earth.
150,"2024 12 June – Promising results of health and medical research are reported: a blood AI test of plasma proteins that predicts Parkinson's disease up to 7 years before symptom onset (18 June), walking programs as a cost-effective method against lower back pain recurrence (19 June)."
151,"2024 12 June – Hazard research is published: a study finds toxic metals including lead and arsenic in tampons (22 June), and a study indicates ocean water intrusion causing Antarctic ice-sheet grounding zones melting is a further tipping point in the climate system (25 June)."
152,2024 2 July – Two new satellite galaxies of the Milky Way are discovered – Sextans II and Virgo III.
153,2024 2 July – The fifth busy beaver is proven.
154,"2024 5 July – The first mouse model with a complete, functional human immune system is demonstrated."
155,2024 9 July – The first local extinction due to sea level rise in the United States is reported: that of the Key Largo tree cactus (Pilosocereus millspaughii) in Florida.
156,"2024 11 July – Using the Hubble Space Telescope, scientists resolve the 3D velocity dispersion profile of a dwarf galaxy for the first time, helping to uncover its dark matter distribution."
157,"2024 11 July – Researchers report to have developed a cell-free system that self-regenerates using carbon dioxide (CO2). They combined an artificial metabolic network that performs CO2 fixation with cell-free protein synthesis using recombinant elements. According to the study this demonstrates how metabolic and genetic networks can be integrated and simultaneously operated outside of the cellular context towards self-maintenance of biological networks, a hallmark of life."
158,"2024 15 July – Scientists announce the discovery of a lunar cave, approximately 250 miles (400 km) from Apollo 11's landing site."
